# dataset: GeoCSV 2.0,,,,
# Event:,2024p826439,Depth: 5km,Magnitude: 4.2,
# Station:,Hawera High School HWHS,Lat: -39.585,Long: 174.274,
# Epicentral_distance_km:,111,,,
# Filtering:,Bandpass filter from 0.1 to 80 Hz,,,
# Component:,,HNZ: 0,HN1: 16,HN2: 106
# field_unit: UTF-8,UTC,m/s/s,m/s/s,m/s/s
# field_type: string,datetime,float,float,float
Stream,Time,Vertical,Horizontal 1,Horizontal 2
NZ_HWHS_21_HN,2024-11-01T18:46:16.105,-6.25E-06,2.76E-05,-0.000118794
NZ_HWHS_21_HN,2024-11-01T18:46:16.110,-2.06E-05,1.33E-05,-0.000184689
NZ_HWHS_21_HN,2024-11-01T18:46:16.115,-0.000119236,-0.000172795,7.85E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.120,-0.000220099,-0.000309977,0.000120832
NZ_HWHS_21_HN,2024-11-01T18:46:16.125,-0.000148307,-0.000137025,-8.50E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.130,-0.000177485,9.40E-05,2.53E-07
NZ_HWHS_21_HN,2024-11-01T18:46:16.135,-0.000220291,7.09E-05,1.89E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.140,-5.56E-05,7.60E-05,-0.000165383
NZ_HWHS_21_HN,2024-11-01T18:46:16.145,-0.000116644,0.000257785,-0.000231732
NZ_HWHS_21_HN,2024-11-01T18:46:16.150,-0.000201308,0.000145892,-0.000156438
NZ_HWHS_21_HN,2024-11-01T18:46:16.155,-8.54E-05,5.70E-05,-0.000104171
NZ_HWHS_21_HN,2024-11-01T18:46:16.160,-0.000165,0.000219214,-2.58E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.165,-0.000182161,-1.46E-05,0.00017047
NZ_HWHS_21_HN,2024-11-01T18:46:16.170,-3.82E-05,-0.000294597,0.000239856
NZ_HWHS_21_HN,2024-11-01T18:46:16.175,-3.22E-05,-0.000290897,0.000146757
NZ_HWHS_21_HN,2024-11-01T18:46:16.180,9.96E-05,-0.000215467,9.49E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.185,0.000172918,1.26E-05,0.000136198
NZ_HWHS_21_HN,2024-11-01T18:46:16.190,-4.92E-05,2.64E-05,7.91E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.195,-0.000179294,-7.92E-05,-9.47E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.200,-0.000208642,7.27E-05,-7.08E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.205,-5.65E-05,9.93E-05,-1.98E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.210,8.77E-05,-5.09E-05,-0.000130621
NZ_HWHS_21_HN,2024-11-01T18:46:16.215,-7.08E-05,-0.000131665,1.63E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.220,-0.000109497,-0.000127188,8.13E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.225,-0.000104542,-8.12E-05,-7.52E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.230,-0.000186885,-0.000131837,0.000213922
NZ_HWHS_21_HN,2024-11-01T18:46:16.235,-0.000179788,-7.61E-05,0.000207462
NZ_HWHS_21_HN,2024-11-01T18:46:16.240,-0.000198288,5.18E-05,-7.02E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.245,-0.000116929,-0.000178598,0.000239805
NZ_HWHS_21_HN,2024-11-01T18:46:16.250,4.76E-05,-0.000304231,0.000322398
NZ_HWHS_21_HN,2024-11-01T18:46:16.255,0.000121496,-5.81E-06,0.00013492
NZ_HWHS_21_HN,2024-11-01T18:46:16.260,0.000209186,0.00019077,1.26E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.265,0.00023045,0.000141968,-6.67E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.270,0.000118395,-7.15E-05,0.0002216
NZ_HWHS_21_HN,2024-11-01T18:46:16.275,6.20E-05,-0.000185976,0.000289384
NZ_HWHS_21_HN,2024-11-01T18:46:16.280,7.77E-05,-3.72E-05,0.000192204
NZ_HWHS_21_HN,2024-11-01T18:46:16.285,0.000101814,-7.26E-05,0.000189423
NZ_HWHS_21_HN,2024-11-01T18:46:16.290,0.000101404,-0.000192074,2.89E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.295,-1.46E-05,-2.44E-05,0.000160835
NZ_HWHS_21_HN,2024-11-01T18:46:16.300,-4.60E-05,6.49E-05,7.65E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.305,5.84E-05,-0.000139586,-0.000187009
NZ_HWHS_21_HN,2024-11-01T18:46:16.310,0.000141476,-0.000241895,0.000117889
NZ_HWHS_21_HN,2024-11-01T18:46:16.315,0.000319178,3.97E-05,0.000136355
NZ_HWHS_21_HN,2024-11-01T18:46:16.320,0.000259778,0.000136355,0.000123437
NZ_HWHS_21_HN,2024-11-01T18:46:16.325,-1.47E-05,-0.000175297,0.000426127
NZ_HWHS_21_HN,2024-11-01T18:46:16.330,-3.78E-05,-0.000208073,0.000138669
NZ_HWHS_21_HN,2024-11-01T18:46:16.335,-0.000124546,-0.000199283,-7.01E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.340,-0.000165652,-0.000260875,5.91E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.345,-4.08E-05,-0.00014467,-3.10E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.350,-0.000113672,-0.000259507,2.88E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.355,-0.00015125,-0.000205808,7.78E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.360,-0.000142425,2.88E-05,1.50E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.365,-0.000193222,8.55E-06,0.000115689
NZ_HWHS_21_HN,2024-11-01T18:46:16.370,-0.00012429,-0.000100691,0.000154717
NZ_HWHS_21_HN,2024-11-01T18:46:16.375,-2.76E-05,-0.000193123,7.57E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.380,-5.16E-05,7.85E-05,0.000101137
NZ_HWHS_21_HN,2024-11-01T18:46:16.385,-0.00013218,6.93E-05,0.000190542
NZ_HWHS_21_HN,2024-11-01T18:46:16.390,-0.000106001,-0.000331741,9.00E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.395,-3.24E-05,-0.000188982,5.47E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.400,3.51E-05,-0.000203908,0.000133271
NZ_HWHS_21_HN,2024-11-01T18:46:16.405,6.00E-05,-0.000261044,-2.50E-06
NZ_HWHS_21_HN,2024-11-01T18:46:16.410,-7.17E-05,0.000117399,9.08E-05
NZ_HWHS_21_HN,2024-11-01T18:46:16.415,-5.45E-05,2.94E-05,0.000229827
